MUIDEN	MUDEID	MUNOMB	MUCODSIM
286	6	SANTA SOFIA	15696000
287	6	SATIVANORTE	15720000
288	6	SATIVASUR	15723000
289	6	SIACHOQUE	15740000
290	6	SOATA	15753000
291	6	SOCOTA	15755000
292	6	SOCHA	15757000
293	6	SOGAMOSO	15759000
294	6	SOMONDOCO	15761000
295	6	SORA	15762000
296	6	SOTAQUIRA	15763000
297	6	SORACA	15764000
298	6	SUSACON	15774000
299	6	SUTAMARCHAN	15776000
300	6	SUTATENZA	15778000
301	6	TASCO	15790000
302	6	TENZA	15798000
303	6	TIBANA	15804000
304	6	TIBASOSA	15806000
305	6	TINJACA	15808000
306	6	TIPACOQUE	15810000
307	6	TOCA	15814000
308	6	TOGUI	15816000
309	6	TOPAGA	15820000
310	6	TOTA	15822000
311	6	TUNUNGUA	15832000
312	6	TURMEQUE	15835000
313	6	TUTA	15837000
314	6	TUTAZA	15839000
315	6	UMBITA	15842000
316	6	VENTAQUEMADA	15861000
317	6	VIRACACHA	15879000
318	6	ZETAQUIRA	15897000
319	7	MANIZALES	17001000
320	7	AGUADAS	17013000
321	7	ANSERMA	17042000
322	7	ARANZAZU	17050000
323	7	BELALCAZAR	17088000
324	7	CHINCHINA	17174000
325	7	FILADELFIA	17272000
326	7	LA DORADA	17380000
327	7	LA MERCED	17388000
328	7	MANZANARES	17433000
329	7	MARMATO	17442000
330	7	MARQUETALIA	17444000
331	7	MARULANDA	17446000
332	7	NEIRA	17486000
333	7	NORCASIA	17495000
334	7	PACORA	17513000
335	7	PALESTINA	17524000
336	7	PENSILVANIA	17541000
337	7	RIOSUCIO	17614000
338	7	RISARALDA	17616000
339	7	SALAMINA	17653000
340	7	SAMANA	17662000
341	7	SAN JOSE	17665000
342	7	SUPIA	17777000
343	7	VICTORIA	17867000
344	7	VILLAMARIA	17873000
345	7	VITERBO	17877000
346	8	FLORENCIA	18001000
347	8	ALBANIA	18029000
348	8	BELEN DE LOS ANDAQUIES	18094000
349	8	CARTAGENA DEL CHAIRA	18150000
350	8	CURILLO	18205000
351	8	EL DONCELLO	18247000
352	8	EL PAUJIL	18256000
353	8	LA MONTANITA	18410000
354	8	MILAN	18460000
355	8	MORELIA	18479000
356	8	PUERTO RICO	18592000
357	8	SAN JOSE DE LA FRAGUA	18610000
358	8	SAN VICENTE DEL CAGUAN	18753000
359	8	SOLANO	18756000
360	8	SOLITA	18785000
361	8	VALPARAISO	18860000
362	10	POPAYAN	19001000
363	10	ALMAGUER	19022000
364	10	ARGELIA	19050000
365	10	BALBOA	19075000
366	10	BOLIVAR	19100000
367	10	BUENOS AIRES	19110000
368	10	CAJIBIO	19130000
369	10	CALDONO	19137000
370	10	CALOTO	19142000
371	10	CORINTO	19212000
372	10	EL TAMBO	19256000
373	10	FLORENCIA	19290000
374	10	GUAPI	19318000
375	10	INZA	19355000
376	10	JAMBALO	19364000
377	10	LA SIERRA	19392000
378	10	LA VEGA	19397000
379	10	LOPEZ	19418000
380	10	MERCADERES	19450000
381	10	MIRANDA	19455000
382	10	MORALES	19473000
383	10	PADILLA	19513000
384	10	PAEZ	19517000
385	10	PATIA	19532000
386	10	PIAMONTE	19533000
387	10	PIENDAMO	19548000
388	10	PUERTO TEJADA	19573000
389	10	PURACE	19585000
390	10	ROSAS	19622000
391	10	SAN SEBASTIAN	19693000
392	10	SANTANDER DE QUILICHAO	19698000
393	10	SANTA ROSA	19701000
394	10	SILVIA	19743000
395	10	SOTARA	19760000
396	10	SUAREZ	19780000
397	10	SUCRE	19785000
398	10	TIMBIO	19807000
399	10	TIMBIQUI	19809000
400	10	TORIBIO	19821000
401	10	TOTORO	19824000
402	10	VILLA RICA	19845000
403	11	VALLEDUPAR	20001000
404	11	AGUACHICA	20011000
405	11	AGUSTIN CODAZZI	20013000
406	11	ASTREA	20032000
407	11	BECERRIL	20045000
408	11	BOSCONIA	20060000
409	11	CHIMICHAGUA	20175000
410	11	CHIRIGUANA	20178000
411	11	CURUMANI	20228000
412	11	EL COPEY	20238000
413	11	EL PASO	20250000
414	11	GAMARRA	20295000
415	11	GONZALEZ	20310000
416	11	LA GLORIA	20383000
417	11	LA JAGUA DE IBIRICO	20400000
418	11	MANAURE	20443000
419	11	PAILITAS	20517000
420	11	PELAYA	20550000
421	11	PUEBLO BELLO	20570000
422	11	RIO DE ORO	20614000
423	11	LA PAZ	20621000
424	11	SAN ALBERTO	20710000
425	11	SAN DIEGO	20750000
426	11	SAN MARTIN	20770000
427	11	TAMALAMEQUE	20787000
428	13	MONTERIA	23001000
429	13	AYAPEL	23068000
430	13	BUENAVISTA	23079000
431	13	CANALETE	23090000
432	13	CERETE	23162000
433	13	CHIMA	23168000
434	13	CHINU	23182000
435	13	CIENAGA DE ORO	23189000
436	13	COTORRA	23300000
437	13	LA APARTADA	23350000
438	13	LORICA	23417000
439	13	LOS CORDOBAS	23419000
440	13	MOMIL	23464000
441	13	MONTELIBANO	23466000
442	13	MONITOS	23500000
443	13	PLANETA RICA	23555000
444	13	PUEBLO NUEVO	23570000
445	13	PUERTO ESCONDIDO	23574000
446	13	PUERTO LIBERTADOR	23580000
447	13	PURISIMA	23586000
448	13	SAHAGUN	23660000
449	13	SAN ANDRES DE SOTAVENTO	23670000
450	13	SAN ANTERO	23672000
451	13	SAN BERNARDO DEL VIENTO	23675000
452	13	SAN CARLOS	23678000
453	13	SAN PELAYO	23686000
454	13	TIERRALTA	23807000
455	13	VALENCIA	23855000
456	14	AGUA DE DIOS	25001000
457	14	ALBAN	25019000
458	14	ANAPOIMA	25035000
459	14	ANOLAIMA	25040000
460	14	ARBELAEZ	25053000
461	14	BELTRAN	25086000
462	14	BITUIMA	25095000
463	14	BOJACA	25099000
464	14	CABRERA	25120000
465	14	CACHIPAY	25123000
466	14	CAJICA	25126000
467	14	CAPARRAPI	25148000
468	14	CAQUEZA	25151000
469	14	CARMEN DE CARUPA	25154000
470	14	CHAGUANI	25168000
471	14	CHIA	25175000
472	14	CHIPAQUE	25178000
473	14	CHOACHI	25181000
474	14	CHOCONTA	25183000
475	14	COGUA	25200000
476	14	COTA	25214000
477	14	CUCUNUBA	25224000
478	14	EL COLEGIO	25245000
479	14	EL PENON	25258000
480	14	EL ROSAL	25260000
481	14	FACATATIVA	25269000
482	14	FOMEQUE	25279000
483	14	FOSCA	25281000
484	14	FUNZA	25286000
485	14	FUQUENE	25288000
486	14	FUSAGASUGA	25290000
487	14	GACHALA	25293000
488	14	GACHANCIPA	25295000
489	14	GACHETA	25297000
490	14	GAMA	25299000
491	14	GIRARDOT	25307000
492	14	GRANADA	25312000
493	14	GUACHETA	25317000
494	14	GUADUAS	25320000
495	14	GUASCA	25322000
496	14	GUATAQUI	25324000
497	14	GUATAVITA	25326000
498	14	GUAYABAL DE SIQUIMA	25328000
499	14	GUAYABETAL	25335000
500	14	GUTIERREZ	25339000
501	14	JERUSALEN	25368000
502	14	JUNIN	25372000
503	14	LA CALERA	25377000
504	14	LA MESA	25386000
505	14	LA PALMA	25394000
506	14	LA PENA	25398000
507	14	LA VEGA	25402000
508	14	LENGUAZAQUE	25407000
509	14	MACHETA	25426000
510	14	MADRID	25430000
511	14	MANTA	25436000
512	14	MEDINA	25438000
513	14	MOSQUERA	25473000
514	14	NARINO	25483000
515	14	NEMOCON	25486000
516	14	NILO	25488000
517	14	NIMAIMA	25489000
518	14	NOCAIMA	25491000
519	14	VENECIA	25506000
520	14	PACHO	25513000
521	14	PAIME	25518000
522	14	PANDI	25524000
523	14	PARATEBUENO	25530000
524	14	PASCA	25535000
525	14	PUERTO SALGAR	25572000
526	14	PULI	25580000
527	14	QUEBRADANEGRA	25592000
528	14	QUETAME	25594000
529	14	QUIPILE	25596000
530	14	APULO	25599000
531	14	RICAURTE	25612000
532	14	SAN ANTONIO DEL TEQUEND	25645000
533	14	SAN BERNARDO	25649000
534	14	SAN CAYETANO	25653000
535	14	SAN FRANCISCO	25658000
536	14	SAN JUAN DE RIO SECO	25662000
537	14	SASAIMA	25718000
538	14	SESQUILE	25736000
539	14	SIBATE	25740000
540	14	SILVANIA	25743000
541	14	SIMIJACA	25745000
542	14	SOACHA	25754000
543	14	SOPO	25758000
544	14	SUBACHOQUE	25769000
545	14	SUESCA	25772000
546	14	SUPATA	25777000
547	14	SUSA	25779000
548	14	SUTATAUSA	25781000
549	14	TABIO	25785000
550	14	TAUSA	25793000
551	14	TENA	25797000
552	14	TENJO	25799000
553	14	TIBACUY	25805000
554	14	TIBIRITA	25807000
555	14	TOCAIMA	25815000
556	14	TOCANCIPA	25817000
557	14	TOPAIPI	25823000
558	14	UBALA	25839000
559	14	UBAQUE	25841000
560	14	VILLA DE SAN DIEGO DE U	25843000
561	14	UNE	25845000
562	14	UTICA	25851000
563	14	VERGARA	25862000
564	14	VIANI	25867000
565	14	VILLAGOMEZ	25871000
566	14	VILLAPINZON	25873000
567	14	VILLETA	25875000
568	14	VIOTA	25878000
569	14	YACOPI	25885000
570	14	ZIPACON	25898000
571	14	ZIPAQUIRA	25899000
572	12	QUIBDO	27001000
573	12	ACANDI	27006000
574	12	ALTO BAUDO	27025000
575	12	ATRATO	27050000
576	12	BAGADO	27073000
577	12	BAHIA SOLANO	27075000
578	12	BAJO BAUDO	27077000
579	12	BOJAYA	27099000
580	12	EL CANTON DEL SAN PABLO	27135000
581	12	CARMEN DEL DARIEN	27150000
582	12	CERTEGUI	27160000
583	12	CONDOTO	27205000
584	12	EL CARMEN DE ATRATO	27245000
585	12	EL LITORAL DEL SAN JUAN	27250000
586	12	ISTMINA	27361000
587	12	JURADO	27372000
588	12	LLORO	27413000
589	12	MEDIO ATRATO	27425000
590	12	MEDIO BAUDO	27430000
591	12	MEDIO SAN JUAN	27450000
592	12	NOVITA	27491000
593	12	NUQUI	27495000
